COD_MARCA,MARCA,COD_PROD,PRODUCTO,CANAL,CIUDAD,DISTRITO,FECHA_FACT,FAMILIA,NRO_FACT,MALL,CANTIDAD,RETAILER,PRECIO_UNIT,COD_CLIENTE
384,OSTER,361,LICUADORAS,HIPERMERCADO,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES,28/01/2018,PEDS,31358873,OPEN PLAZA ATOCONGO,1,TOTTUS,449,106667
383,IMACO,361,LICUADORAS,ESPECIALISTA,ICA,NAZCA,14/01/2018,PEDS,32451888,SIN MALL,1,GALLO MAS GALLO,129.68,106792
419,SAMSUNG,336,TV,ESPECIALISTA,SUR CHICO,CAÑETE,10/02/2019,ELECTRONICA,31896096,SIN MALL,1,MARCIMEX,1159.17,105869
383,IMACO,348,COCINAS,ESPECIALISTA,LIMA METROPOLITANA,LURIN,7/01/2018,LINEA BLANCA,32447605,SIN MALL,1,GALLO MAS GALLO,52.51,105966
384,OSTER,372,HERVIDORES,HIPERMERCADO,ANCASH,CHIMBOTE,14/01/2018,PEDS,31178279,SIN MALL,1,METRO,75,105152
433,AOC,336,TV,HIPERMERCADO,AREQUIPA,AREQUIPA,14/01/2018,ELECTRONICA,32222901,SIN MALL,2,PLAZA VEA,674,105008
417,LG,348,COCINAS,HIPERMERCADO,VIRTUAL,ONLINE,27/01/2019,LINEA BLANCA,32299077,SIN MALL,1,PLAZA VEA,1899,105332
419,SAMSUNG,346,REFRIGERADORES,TIENDA DEPARTAMENTAL,CALLAO,BELLAVISTA,21/01/2018,LINEA BLANCA,31762056,MALL AVENTURA PLAZA BELLAVISTA,3,RIPLEY,1099,105365
384,OSTER,361,LICUADORAS,HIPERMERCADO,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO,3/02/2019,PEDS,31227708,SIN MALL,5,METRO,162.94,105711
431,HP,357,PC,HIPERMERCADO,LIMA METROPOLITANA,ATE,13/01/2019,COMPUTO,32233528,SIN MALL,1,PLAZA VEA,1499,105773
388,RECCO,364,PLANCHAS,HIPERMERCADO,LIMA METROPOLITANA,CERCADO DE LIMA,10/02/2019,PEDS,31427018,SIN MALL,3,TOTTUS,49.9,105617
419,SAMSUNG,346,REFRIGERADORES,HIPERMERCADO,LIMA METROPOLITANA,VILLA EL SALVADOR,4/02/2018,LINEA BLANCA,31386367,MEGA PLAZA VILLA EL SALVADOR,1,TOTTUS,1299,105588
419,SAMSUNG,336,TV,HIPERMERCADO,LIMA METROPOLITANA,BARRANCO,17/02/2019,ELECTRONICA,31257277,SIN MALL,1,METRO,2798.98,106862
398,BLACK&DECKER,361,LICUADORAS,HIPERMERCADO,PUNO,PUNO,7/01/2018,PEDS,32200697,SIN MALL,1,PLAZA VEA,149,105300
416,INDURAMA,352,CONGELADORES,ESPECIALISTA,MOQUEGUA,ILO,28/01/2018,LINEA BLANCA,31124648,SIN MALL,1,CARSA,1299,105928
419,SAMSUNG,336,TV,HIPERMERCADO,LIMA METROPOLITANA,CERCADO DE LIMA,6/01/2019,ELECTRONICA,31167699,SIN MALL,4,METRO,1584.54,106210
387,PRACTIKA,372,HERVIDORES,HIPERMERCADO,ANCASH,CHIMBOTE,27/01/2019,PEDS,32291483,SIN MALL,1,PLAZA VEA,49.9,105415
454,HISENSE,336,TV,ESPECIALISTA,HUANUCO,TINGOMARIA,18/02/2018,ELECTRONICA,32074382,SIN MALL,1,CURACAO,1344.2,105638
431,HP,355,LAPTOPS,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,CERCADO DE LIMA,6/01/2019,COMPUTO,31505811,SIN MALL,1,FALABELLA,3324,105738
384,OSTER,361,LICUADORAS,HIPERMERCADO,PIURA,SULLANA,21/01/2018,PEDS,32258138,REAL PLAZA SULLANA,1,PLAZA VEA,247.83,105444
383,IMACO,369,CAFETERAS,HIPERMERCADO,LIMA METROPOLITANA,SURCO,4/02/2018,PEDS,32301281,SIN MALL,1,PLAZA VEA,52.48,105518
432,LENOVO,355,LAPTOPS,ESPECIALISTA,ANCASH,CARAZ,14/01/2018,COMPUTO,31881156,SIN MALL,2,MARCIMEX,1398.9,105243
448,SONY,337,AUDIO HOME SYS.,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,SAN ISIDRO,10/02/2019,ELECTRONICA,31818749,SIN MALL,1,RIPLEY,1099.95,106682
415,COLDEX,346,REFRIGERADORES,ESPECIALISTA,SAN MARTIN,TARAPOTO,18/02/2018,LINEA BLANCA,32081138,SIN MALL,2,TIENDAS EFE,1119.23,106571
432,LENOVO,355,LAPTOPS,ESPECIALISTA,SAN MARTIN,TARAPOTO,10/02/2019,COMPUTO,32068152,SIN MALL,2,TIENDAS EFE,1662.49,106599
419,SAMSUNG,336,TV,HIPERMERCADO,TRUJILLO,TRUJILLO,13/01/2019,ELECTRONICA,31329524,OPEN PLAZA TRUJILLO,3,TOTTUS,2599,106222
419,SAMSUNG,347,LAVADORAS,TIENDA DEPARTAMENTAL,NORTE CHICO,BARRANCA,21/01/2018,LINEA BLANCA,32156701,MEGA PLAZA BARRANCA,1,OECHSLE,1299,105201
384,OSTER,372,HERVIDORES,HIPERMERCADO,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO,4/02/2018,PEDS,31220361,SIN MALL,1,METRO,75,106304
